Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total)
Deposit,2026-01-05 09:00:00,,,,"Bank Transfer",019a0001-0001-0001-0001-000000000001,,,,,5000.00,"GBP"
Limit buy,2026-01-06 10:15:30,US5949181045,AAPL,"Apple Inc.",,EOF50000000001,10.0000000000,15000.0000000000,GBX,100.00000000,1500.00,"GBP"
Market buy,2026-01-07 14:22:10,US0378331005,MSFT,"Microsoft Corporation",,EOF50000000002,5.0000000000,38000.0000000000,GBX,100.00000000,1900.00,"GBP"
Interest on cash,2026-01-08 02:00:00,,,,"Interest on cash",019a0002-0002-0002-0002-000000000002,,,,,0.68,"GBP"
Limit sell,2026-01-20 11:30:00,US5949181045,AAPL,"Apple Inc.",,EOF50000000003,5.0000000000,15500.0000000000,GBX,100.00000000,775.00,"GBP"
Market sell,2026-02-01 09:45:00,US0378331005,MSFT,"Microsoft Corporation",,EOF50000000004,2.0000000000,39000.0000000000,GBX,100.00000000,780.00,"GBP"
Interest on cash,2026-02-02 02:00:00,,,,"Interest on cash",019a0003-0003-0003-0003-000000000003,,,,,0.72,"GBP"
Withdrawal,2026-02-10 16:00:00,,,,"Bank Transfer",019a0004-0004-0004-0004-000000000004,,,,,2000.00,"GBP"
Limit buy,2026-02-15 10:00:00,IE000YGEAK03,QGRP,"WisdomTree US Quality Growth (Acc)",,EOF50000000005,100.0000000000,2600.0000000000,GBX,100.00000000,260.00,"GBP"
Interest on cash,2026-03-01 02:00:00,,,,"Interest on cash",019a0005-0005-0005-0005-000000000005,,,,,0.16,"GBP"
Market buy,2026-03-10 13:00:00,LU2951555585,DBMG,"iMGP DBi Managed Futures Fund R USD (Acc)",,EOF50000000006,50.0000000000,9700.0000000000,GBX,100.00000000,485.00,"GBP"
Deposit,2026-03-15 09:00:00,,,,"Bank Transfer",019a0006-0006-0006-0006-000000000006,,,,,3000.00,"GBP"
Interest on cash,2026-03-16 02:00:00,,,,"Interest on cash",019a0007-0007-0007-0007-000000000007,,,,,0.85,"GBP"
Limit sell,2026-03-20 15:00:00,IE000YGEAK03,QGRP,"WisdomTree US Quality Growth (Acc)",,EOF50000000007,50.0000000000,2650.0000000000,GBX,100.00000000,132.50,"GBP"
Interest on cash,2026-04-01 02:00:00,,,,"Interest on cash",019a0008-0008-0008-0008-000000000008,,,,,1.05,"GBP"
