Country,Weight
United States,40.54%
China,11.62%
South Korea,6.65%
Japan,6.23%
United Kingdom,3.42%
Taiwan,3.28%
Canada,3.20%
Germany,3.13%
France,2.86%
Italy,2.59%
Netherlands,2.04%
Switzerland,1.74%
Australia,1.42%
Brazil,1.34%
Spain,1.15%
Denmark,0.98%
Unknown,0.95%
Belgium,0.87%
Israel,0.76%
Singapore,0.72%
Sweden,0.69%
South Africa,0.67%
Norway,0.55%
Finland,0.50%
Hong Kong,0.32%
Austria,0.29%
Luxembourg,0.27%
Turkey,0.26%
Malaysia,0.25%
Poland,0.19%
Mexico,0.13%
Kazakhstan,0.12%
Thailand,0.10%
Chile,0.09%
Ireland,0.05%
Portugal,0.02%
