date,Weight,Security Description
5/20/2026,0.0857710,\"Grid Infrastructure\"
5/20/2026,0.0838000,\"Sustainable Energy Storage\"
5/20/2026,0.0836370,\"Sustainable Energy Production\"
5/20/2026,0.0814010,\"Digital Infrastructure\"
5/20/2026,0.0810840,\"AI Infrastructure\"
5/20/2026,0.0666060,\"Space\"
5/20/2026,0.0654650,\"Economic Resilience\"
5/20/2026,0.0643080,\"HealthTech\"
5/20/2026,0.0640920,\"Strategic Metals \u0026 Rare Earths\"
5/20/2026,0.0627360,\"Physical AI \u0026 Robotics\"
5/20/2026,0.0510140,\"Nuclear\"
5/20/2026,0.0442380,\"Rise of Tension\"
5/20/2026,0.0299180,\"Rise of China Tech\"
5/20/2026,0.0275240,\"Artificial Intelligence \u0026 Big Data\"
5/20/2026,0.0273330,\"Cybersecurity\"
5/20/2026,0.0220320,\"Quantum Computing\"
5/20/2026,0.0208990,\"Blockchain\"
5/20/2026,0.0196390,\"Aging Population\"
5/20/2026,0.0184930,\"Rise of EM Consumer\"

