date,fund_ticker,close_price_adj,volume_adj,nav,bmk_ticker_A,price_level_A,bmk_ticker_B,price_level_B,bmk_ticker_C,price_level_C,bmk_ticker_D,price_level_D,uv10KMP,uv10KNAV
12/6/2023,WMGT LN,,,25.0617,,,,,,,,,,10024
12/7/2023,WMGT LN,,,25.154,,,,,,,,,,10060
12/8/2023,WMGT LN,,,25.6411,,,,,,,,,,10256
12/11/2023,WMGT LN,,,25.3326,,,,,,,,,,10132
12/12/2023,WMGT LN,,,25.4477,,,,,,,,,,10180
12/13/2023,WMGT LN,,,26.1693,,,,,,,,,,10468
12/14/2023,WMGT LN,,,26.7572,,,,,,,,,,10704
12/15/2023,WMGT LN,,,26.7678,,,,,,,,,,10708
12/18/2023,WMGT LN,,,26.828,,,,,,,,,,10732
12/19/2023,WMGT LN,,,27.1006,,,,,,,,,,10840
12/20/2023,WMGT LN,,,26.6712,,,,,,,,,,10668
12/21/2023,WMGT LN,,,27.2526,,,,,,,,,,10900
12/22/2023,WMGT LN,,,27.5413,,,,,,,,,,11016
12/25/2023,WMGT LN,,,28.4445,,,,,,,,,,11016
12/26/2023,WMGT LN,,,28.4445,,,,,,,,,,11016
12/27/2023,WMGT LN,,,28.4445,,,,,,,,,,11376
12/28/2023,WMGT LN,,,28.3265,,,,,,,,,,11332
12/29/2023,WMGT LN,,,27.5007,,,,,,,,,,11000
1/2/2024,WMGT LN,,,26.8343,,,,,,,,,,10732
...
5/6/2026,WMGT LN,,,45.3112,,,,,,,,,,18124
5/7/2026,WMGT LN,,,44.8698,,,,,,,,,,17948
5/8/2026,WMGT LN,,,45.1556,,,,,,,,,,18064
5/11/2026,WMGT LN,,,45.846,,,,,,,,,,18340

