date,securityName,weight,Sector,wgtSector
5/22/2026,\"Bloom Energy Corp- A\",0.0142886,Industrials,0.3711180
5/22/2026,\"Prysmian SpA\",0.0130207,Industrials,0.3711180
5/22/2026,\"DOOSAN FUEL CELL CO LTD KRW100\",0.0111811,Industrials,0.3711180
5/22/2026,\"BEIJING SIFANG CNY 1.000000000\",0.0106795,Industrials,0.3711180
5/22/2026,\"Rocket Lab Corp\",0.0105851,Industrials,0.3711180
5/22/2026,\"Quanta Services Inc\",0.0091625,Industrials,0.3711180
5/22/2026,\"ABB Ltd-Reg\",0.0084621,Industrials,0.3711180
5/22/2026,\"Ballard Power Systems Inc\",0.0068326,Industrials,0.3711180
5/22/2026,\"Intuitive Machines Inc\",0.0059904,Industrials,0.3711180
5/22/2026,\"Mitsubishi Heavy Industries Ltd\",0.0056505,Industrials,0.3711180
5/22/2026,\"SIEMENS ENERGY AG NPV\",0.0052956,Industrials,0.3711180
5/22/2026,\"GE Vernova Inc\",0.0049895,Industrials,0.3711180
5/22/2026,\"VESTAS WIND SYSTEM DKK 0.20\",0.0042039,Industrials,0.3711180
5/22/2026,\"Vinci SA\",0.0041408,Industrials,0.3711180
5/22/2026,\"Legrand SA\",0.0041360,Industrials,0.3711180
5/22/2026,\"Nordex SE\",0.0040256,Industrials,0.3711180
5/22/2026,\"Schneider Electric SA\",0.0039211,Industrials,0.3711180
5/22/2026,\"BAE Systems PLC\",0.0037981,Industrials,0.3711180
5/22/2026,\"HD HYUNDAI ELECTRIC \u0026 Energy System Co Ltd KRW5000\",0.0037921,Industrials,0.3711180
5/22/2026,\"Nextracker Inc-Cl A\",0.0036679,Industrials,0.3711180
5/22/2026,\"Mda Space Ltd\",0.0036453,Industrials,0.3711180
5/22/2026,\"Jiangsu Zhongtian Technology Co\",0.0036005,Industrials,0.3711180
5/22/2026,\"Contemporary Amperex Techn-A\",0.0033893,Industrials,0.3711180
5/22/2026,\"Planet Labs Pbc\",0.0033585,Industrials,0.3711180
5/22/2026,\"EnerSys\",0.0033042,Industrials,0.3711180
5/22/2026,\"SIEYUAN ELECTRIC CO LTD-A CNY 1.0000\",0.0032299,Industrials,0.3711180
5/22/2026,\"Rolls-Royce Holdings PLC\",0.0032048,Industrials,0.3711180
5/22/2026,\"Plug Power Inc\",0.0031644,Industrials,0.3711180
5/22/2026,\"NARI TECHNOLOGY CO LTD-A CNY 1.0000\",0.0031519,Industrials,0.3711180
5/22/2026,\"Thales SA\",0.0030996,Industrials,0.3711180
5/22/2026,\"JOHNSON CONTROLS INTERNATION USD0.01\",0.0028792,Industrials,0.3711180
5/22/2026,\"Rheinmetall AG\",0.0028388,Industrials,0.3711180
5/22/2026,\"Ferrovial NV EUR NPV\",0.0027836,Industrials,0.3711180
5/22/2026,\"NKT Holding A/S\",0.0027367,Industrials,0.3711180
5/22/2026,\"Ubtech Robotics Corp Ltd-H\",0.0026548,Industrials,0.3711180
5/22/2026,\"AVIO SPA NPV\",0.0026437,Industrials,0.3711180
5/22/2026,\"Curtiss-Wright Corp\",0.0025402,Industrials,0.3711180
5/22/2026,\"SUNGROW POWER SUPPLY CO LT-A CNY 1.0000\",0.0025143,Industrials,0.3711180
5/22/2026,\"Qingdao Tgood Electric-A\",0.0024963,Industrials,0.3711180
5/22/2026,\"HYOSUNG HEAVY INDUSTRIES COR KRW5000\",0.0024591,Industrials,0.3711180
5/22/2026,\"Doosan Heavy Industries\",0.0023909,Industrials,0.3711180
5/22/2026,\"Fanuc Ltd\",0.0023907,Industrials,0.3711180
5/22/2026,\"Wartsila Oyj\",0.0023761,Industrials,0.3711180
5/22/2026,\"Hubbell Inc\",0.0023449,Industrials,0.3711180
5/22/2026,\"Generac Holdings Inc\",0.0023438,Industrials,0.3711180
5/22/2026,\"Rainbow Robotics\",0.0023384,Industrials,0.3711180
5/22/2026,\"Vertiv Holdings Co\",0.0023349,Industrials,0.3711180
5/22/2026,\"Hanwha Techwin Co Ltd\",0.0023215,Industrials,0.3711180
5/22/2026,\"Kongsberg Gruppen Asa\",0.0023120,Industrials,0.3711180
5/22/2026,\"Yaskawa Electric Corp\",0.0022836,Industrials,0.3711180
