date,etf_isin,ticker,description,weight,market_value
2026-05-28,IE000EGGFVG6,AAON,AAON INC,0.0001382203,203147.28
2026-05-28,IE000EGGFVG6,AIR,AAR CORP,7.79121e-05,114510.12
2026-05-28,IE000EGGFVG6,ACCO,ACCO BRANDS CORP,3.7889e-06,5568.75
2026-05-28,IE000EGGFVG6,ACNB,ACNB CORP,1.96568e-05,28890.3
2026-05-28,IE000EGGFVG6,ADMA,ADMA BIOLOGICS INC,4.37254e-05,64264.72
2026-05-28,IE000EGGFVG6,ADT,ADT INC,0.0001804234,265174.59
2026-05-28,IE000EGGFVG6,ABSI,ABSCI CORP,8.4391e-06,12403.2
2026-05-28,IE000EGGFVG6,ACVA,ACV AUCTIONS INC A,1.00291e-05,14740.16
2026-05-28,IE000EGGFVG6,ABM,ABM INDUSTRIES INC,7.42272e-05,109094.37
2026-05-28,IE000EGGFVG6,AFL,AFLAC INC,0.0004834766,710582.67
2026-05-28,IE000EGGFVG6,AGCO,AGCO CORP,0.0001362037,200183.46
2026-05-28,IE000EGGFVG6,ACMR,ACM RESEARCH INC CLASS A,0.0001439273,211535.08
2026-05-28,IE000EGGFVG6,AES,AES CORP,0.0001127635,165732.58
2026-05-28,IE000EGGFVG6,AMCX,AMC GLOBALMEDIA INC,2.9027e-06,4266.22
2026-05-28,IE000EGGFVG6,AMN,AMN HEALTHCARE SERVICES INC,2.68898e-05,39520.95
2026-05-28,IE000EGGFVG6,GOLD,GOLD.COM INC,9.7623e-06,14348.05
2026-05-28,IE000EGGFVG6,ANIP,ANI PHARMACEUTICALS INC,4.54187e-05,66753.53
2026-05-28,IE000EGGFVG6,ANGI,ANGI INC,2.2449e-06,3299.4
2026-05-28,IE000EGGFVG6,APG,API GROUPCORP,0.0003531824,519084.72
2026-05-28,IE000EGGFVG6,EFOR,EVERFORTHINC,8.2335e-06,12101.1
2026-05-28,IE000EGGFVG6,T,AT+T INC,0.0012253659,1800963.68
2026-05-28,IE000EGGFVG6,ATEN,A10 NETWORKS INC,2.7594e-05,40555.88
2026-05-28,IE000EGGFVG6,ATNI,ATN INTERNATIONAL INC,4.0062e-06,5888.12
2026-05-28,IE000EGGFVG6,ASTS,AST SPACEMOBILE INC,0.0002618813,384896.28
2026-05-28,IE000EGGFVG6,ATS,ATS CORP,4.01873e-05,59064.63
2026-05-28,IE000EGGFVG6,AXTI,AXT INC,4.97521e-05,73122.4
2026-05-28,IE000EGGFVG6,AZZ,AZZ INC,7.77162e-05,114222.25
2026-05-28,IE000EGGFVG6,ABT,ABBOTT LABORATORIES,0.0009882835,1452515.3
2026-05-28,IE000EGGFVG6,ABBV,ABBVIE INC,0.0018109393,2661601.62
2026-05-28,IE000EGGFVG6,ANF,ABERCROMBIE + FITCH CO CL A,0.0001331332,195670.58
2026-05-28,IE000EGGFVG6,ACTG,ACACIA RESEARCH CORP,1.42209e-05,20900.9
2026-05-28,IE000EGGFVG6,ASO,ACADEMY SPORTS + OUTDOORS IN,7.87945e-05,115807.12
2026-05-28,IE000EGGFVG6,ACHC,ACADIA HEALTHCARE CO INC,4.81914e-05,70828.56
2026-05-28,IE000EGGFVG6,ACAD,ACADIA PHARMACEUTICALS INC,8.94348e-05,131445.51
2026-05-28,IE000EGGFVG6,AKR,ACADIA REALTY TRUST,1.18022e-05,17346.12
2026-05-28,IE000EGGFVG6,ACIW,ACI WORLDWIDE INC,8.58538e-05,126182.4
2026-05-28,IE000EGGFVG6,ACRS,ACLARIS THERAPEUTICS INC,4.5677e-06,6713.33
2026-05-28,IE000EGGFVG6,ACU,ACME UNITED CORP,1.5008e-06,2205.84
2026-05-28,IE000EGGFVG6,ADTN,ADTRAN HOLDINGS INC,2.94714e-05,43315.2
2026-05-28,IE000EGGFVG6,ACRV,ACRIVON THERAPEUTICS INC,4.736e-07,696.01
2026-05-28,IE000EGGFVG6,AYI,ACUITY INC,0.0001599898,235142.73
2026-05-28,IE000EGGFVG6,GOLF,ACUSHNET HOLDINGS CORP,0.000125149,183935.98
2026-05-28,IE000EGGFVG6,AHCO,ADAPTHEALTH CORP,2.86824e-05,42155.55
2026-05-28,IE000EGGFVG6,ADUS,ADDUS HOMECARE CORP,2.97823e-05,43772.04
2026-05-28,IE000EGGFVG6,ADEA,ADEIA INC,7.72286e-05,113505.6
2026-05-28,IE000EGGFVG6,ADBE,ADOBE INC,0.0011417075,1678008.0
2026-05-28,IE000EGGFVG6,CVSA,COVISTA INC,0.0001143113,168007.31
2026-05-28,IE000EGGFVG6,AAP,ADVANCE AUTO PARTS INC,0.0001728921,254105.7
2026-05-28,IE000EGGFVG6,ACM,AECOM,0.0002109124,309985.38
2026-05-28,IE000EGGFVG6,AEG,AEGON LTDNY REG SHR,0.0002456153,360989.46
2026-05-28,IE000EGGFVG6,ARQ,ARQ INC,1.0834e-06,1592.25
2026-05-28,IE000EGGFVG6,ASIX,ADVANSIX INC,2.10245e-05,30900.4
2026-05-28,IE000EGGFVG6,AMD,ADVANCED MICRO DEVICES,0.0032395267,4761247.1
2026-05-28,IE000EGGFVG6,WMS,ADVANCED DRAINAGE SYSTEMS IN,0.0002624266,385697.7
2026-05-28,IE000EGGFVG6,AEIS,ADVANCED ENERGY INDUSTRIES,0.0001779851,261591.0
2026-05-28,IE000EGGFVG6,ASLE,AERSALE CORP,2.8872e-06,4243.42
2026-05-28,IE000EGGFVG6,AMG,AFFILIATEDMANAGERS GROUP,0.0001424374,209345.36
2026-05-28,IE000EGGFVG6,AFRM,AFFIRM HOLDINGS INC,0.0003449995,507058.0
2026-05-28,IE000EGGFVG6,AFBI,AFFINITY BANCSHARES INC,1.2701e-06,1866.67
2026-05-28,IE000EGGFVG6,A,AGILENT TECHNOLOGIES INC,0.0005949502,874419.42
2026-05-28,IE000EGGFVG6,AEM,AGNICO EAGLE MINES LTD,0.0006043593,888248.27
2026-05-28,IE000EGGFVG6,AGYS,AGILYSYS INC,3.40096e-05,49985.1
2026-05-28,IE000EGGFVG6,AGIO,AGIOS PHARMACEUTICALS INC,5.15784e-05,75806.64
2026-05-28,IE000EGGFVG6,ADC,AGREE REALTY CORP,7.38533e-05,108544.8
2026-05-28,IE000EGGFVG6,ABNB,AIRBNB INCCLASS A,0.0004541794,667523.5
2026-05-28,IE000EGGFVG6,APD,AIR PRODUCTS + CHEMICALS INC,0.0006409328,942001.65
2026-05-28,IE000EGGFVG6,AIRG,AIRGAIN INC,8.09e-07,1189.0
2026-05-28,IE000EGGFVG6,AIRS,AIRSCULPTTECHNOLOGIES INC,2.8723e-06,4221.48
2026-05-28,IE000EGGFVG6,AKAM,AKAMAI TECHNOLOGIES INC,0.0004366738,641794.92
2026-05-28,IE000EGGFVG6,AKBA,AKEBIA THERAPEUTICS INC,5.43e-08,79.8
2026-05-28,IE000EGGFVG6,ALG,ALAMO GROUP INC,2.80116e-05,41169.6
2026-05-28,IE000EGGFVG6,AGI,ALAMOS GOLD INC CLASS A,0.0001762049,258974.56
2026-05-28,IE000EGGFVG6,ALRM,ALARM.COMHOLDINGS INC,4.21276e-05,61916.4
2026-05-28,IE000EGGFVG6,ALK,ALASKA AIRGROUP INC,6.78371e-05,99702.6
2026-05-28,IE000EGGFVG6,AIN,ALBANY INTL CORP CL A,3.03561e-05,44615.4
2026-05-28,IE000EGGFVG6,ALB,ALBEMARLECORP,0.0009230274,1356606.08
2026-05-28,IE000EGGFVG6,ACI,ALBERTSONSCOS INC   CLASS A,0.0002389621,351211.12
2026-05-28,IE000EGGFVG6,AA,ALCOA CORP,0.0003876358,569722.04
2026-05-28,IE000EGGFVG6,ALRS,ALERUS FINANCIAL CORP,2.06466e-05,30345.0
2026-05-28,IE000EGGFVG6,ALX,ALEXANDERS INC,1.4785e-05,21729.99
2026-05-28,IE000EGGFVG6,ARE,ALEXANDRIAREAL ESTATE EQUIT,5.61999e-05,82599.0
2026-05-28,IE000EGGFVG6,ASTL,ALGOMA STEEL GROUP INC,4.2445e-06,6238.32
2026-05-28,IE000EGGFVG6,AQN,ALGONQUINPOWER + UTILITIES,4.42893e-05,65093.61
2026-05-28,IE000EGGFVG6,ALCO,ALICO INC,2.9514e-06,4337.84
2026-05-28,IE000EGGFVG6,ALGN,ALIGN TECHNOLOGY INC,0.0002220828,326403.0
2026-05-28,IE000EGGFVG6,ALHC,ALIGNMENTHEALTHCARE INC,3.62478e-05,53274.67
2026-05-28,IE000EGGFVG6,ALGS,ALIGOS THERAPEUTICS INC,3.27e-07,480.57
2026-05-28,IE000EGGFVG6,ALIT,ALIGHT INCCLASS A,8.23e-08,120.99
2026-05-28,IE000EGGFVG6,ATI,ATI INC,0.0003990192,586452.67
2026-05-28,IE000EGGFVG6,ALGT,ALLEGIANTTRAVEL CO,4.69782e-05,69045.53
2026-05-28,IE000EGGFVG6,ALGM,ALLEGRO MICROSYSTEMS INC,0.0001154303,169652.0
2026-05-28,IE000EGGFVG6,BFH,BREAD FINANCIAL HOLDINGS INC,0.0001559463,229199.86
2026-05-28,IE000EGGFVG6,LNT,ALLIANT ENERGY CORP,0.0002914327,428328.95
2026-05-28,IE000EGGFVG6,ALNT,ALLIENT INC,2.84711e-05,41844.99
2026-05-28,IE000EGGFVG6,ALSN,ALLISON TRANSMISSION HOLDING,0.0001199512,176296.56
2026-05-28,IE000EGGFVG6,ALL,ALLSTATE CORP,0.0008887848,1306278.56
2026-05-28,IE000EGGFVG6,ALLY,ALLY FINANCIAL INC,0.0002885298,424062.4
2026-05-28,IE000EGGFVG6,ALNY,ALNYLAM PHARMACEUTICALS INC,0.0004761453,699807.64
2026-05-28,IE000EGGFVG6,AMR,ALPHA METALLURGICAL RESOURCE,0.0001045526,153664.68
2026-05-28,IE000EGGFVG6,GOOG,ALPHABET INC CL C,0.0061940068,9103551.24
2026-05-28,IE000EGGFVG6,GOOGL,ALPHABET INC CL A,0.0077721515,11423006.4
2026-05-28,IE000EGGFVG6,TKNO,ALPHA TEKNOVA INC,1.3792e-06,2027.1
2026-05-28,IE000EGGFVG6,PINE,ALPINE INCOME PROPERTY TRUST,1.108e-06,1628.46
2026-05-28,IE000EGGFVG6,ALTG,ALTA EQUIPMENT GROUP INC,2.9517e-06,4338.18
2026-05-28,IE000EGGFVG6,ALTO,ALTO INGREDIENTS INC,3.715e-06,5460.08
2026-05-28,IE000EGGFVG6,ALT,ALTIMMUNEINC,3.1896e-06,4687.89
2026-05-28,IE000EGGFVG6,OPTU,OPTIMUM COMMUNICATIONS INC A,1.48e-08,21.77
2026-05-28,IE000EGGFVG6,OKLO,OKLO INC,2.24691e-05,33023.65
2026-05-28,IE000EGGFVG6,ALTI,ALTI GLOBAL INC,3.1493e-06,4628.7
2026-05-28,IE000EGGFVG6,ANRO,ALTO NEUROSCIENCE INC,5.7919e-06,8512.62
2026-05-28,IE000EGGFVG6,MO,ALTRIA GROUP INC,0.0010115319,1486684.29
2026-05-28,IE000EGGFVG6,KNTK,KINETIK HOLDINGS INC,4.77273e-05,70146.56
2026-05-28,IE000EGGFVG6,AMAL,AMALGAMATED FINANCIAL CORP,2.68738e-05,39497.38
2026-05-28,IE000EGGFVG6,AMZN,AMAZON.COMINC,0.0248896444,36581192.0
2026-05-28,IE000EGGFVG6,OSG,OCTAVE SPECIALTY GROUP INC,2.4488e-06,3599.04
2026-05-28,IE000EGGFVG6,DIT,AMCON DISTRIBUTING CO,5.706e-07,838.56
2026-05-28,IE000EGGFVG6,AMTB,AMERANT BANCORP INC,1.68179e-05,24717.86
2026-05-28,IE000EGGFVG6,UHAL,U HAUL HOLDING CO,1.89637e-05,27871.6
2026-05-28,IE000EGGFVG6,UHAL/B,U HAUL HOLDING CO NON VOTING,0.0001382563,203200.15
2026-05-28,IE000EGGFVG6,AEE,AMEREN CORPORATION,0.0002969062,436373.58
2026-05-28,IE000EGGFVG6,AMRC,AMERESCO INC CL A,3.13428e-05,46065.6
2026-05-28,IE000EGGFVG6,AAL,AMERICAN AIRLINES GROUP INC,0.0001472441,216409.8
2026-05-28,IE000EGGFVG6,AMTM,AMENTUM HOLDINGS INC,0.0001382969,203259.84
2026-05-28,IE000EGGFVG6,AAT,AMERICAN ASSETS TRUST INC,6.1854e-06,9090.93
2026-05-28,IE000EGGFVG6,DCH,DAUCH CORPORATION,1.80151e-05,26477.47
2026-05-28,IE000EGGFVG6,ABAT,AMERICAN BATTERY TECHNOLOGY,9.9048e-06,14557.39
2026-05-28,IE000EGGFVG6,AEP,AMERICAN ELECTRIC POWER,0.0006617769,972636.88
2026-05-28,IE000EGGFVG6,AEO,AMERICAN EAGLE OUTFITTERS,0.0001122213,164935.68
2026-05-28,IE000EGGFVG6,AXP,AMERICAN EXPRESS CO,0.0019200052,2821899.6
2026-05-28,IE000EGGFVG6,AFG,AMERICAN FINANCIAL GROUP INC,0.0001956107,287496.0
2026-05-28,IE000EGGFVG6,AMH,AMERICAN HOMES 4 RENT  A,7.97935e-05,117275.34
2026-05-28,IE000EGGFVG6,AIG,AMERICAN INTERNATIONAL GROUP,0.0010130346,1488892.8
2026-05-28,IE000EGGFVG6,AOUT,AMERICAN OUTDOOR BRANDS INC,1.1995e-06,1763.01
2026-05-28,IE000EGGFVG6,APEI,AMERICAN PUBLIC EDUCATION,2.23381e-05,32831.12
2026-05-28,IE000EGGFVG6,AWR,AMERICAN STATES WATER CO,2.33339e-05,34294.62
2026-05-28,IE000EGGFVG6,AMSC,AMERICAN SUPERCONDUCTOR CORP,2.57045e-05,37778.88
2026-05-28,IE000EGGFVG6,AMT,AMERICAN TOWER CORP,0.0008797132,1292945.68
2026-05-28,IE000EGGFVG6,AVD,AMERICAN VANGUARD CORP,7.144e-07,1049.92
2026-05-28,IE000EGGFVG6,AWK,AMERICAN WATER WORKS CO INC,0.0002079492,305630.3
2026-05-28,IE000EGGFVG6,AMWL,AMERICAN WELL CORP CLASS A,1.2809e-06,1882.54
2026-05-28,IE000EGGFVG6,USAS,AMERICAS GOLD AND SILVER COR,1.28932e-05,18949.62
2026-05-28,IE000EGGFVG6,CRMT,AMERICA SCAR MART INC,9.872e-07,1450.92
2026-05-28,IE000EGGFVG6,COLD,AMERICOLDREALTY TRUST INC,9.20587e-05,135301.98
